,기준_년분기_코드,행정동_코드,월_평균_소득_금액,음식_지출_총금액,점포_수,유사_업종_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수,당월_매출_금액,당월_매출_건수,총_직장_인구_수,총_상주인구_수,총_유동인구_수
6525,20214,11200570,4408744,265910000,24,28,4,1,4,1,4,642407257,14918,268,24054,4887684
6526,20214,11200620,4442144,369588000,50,53,2,1,2,1,3,2326289794,53956,1331,14708,2996012
6527,20214,11215780,2846023,1319679000,62,70,4,3,1,1,8,6018308558,168158,2288,11615,2362986
6528,20214,11230536,2894254,2309727000,360,381,2,9,2,8,21,16874025710,616388,23899,31118,13086608
6529,20214,11260600,2518956,203029000,40,43,0,0,2,1,3,795965457,28225,1955,20232,6093303
6530,20214,11260680,2780491,1201756000,133,151,7,10,5,7,18,7711540868,219258,4245,39688,5718965
6531,20214,11290555,3057377,1386583000,215,225,2,4,2,4,10,9459118013,340957,6459,23545,9976657
6532,20214,11290685,3736133,685369000,79,84,5,4,4,3,5,2694131165,95454,722,17041,4367755
6533,20214,11290770,2411293,317688000,92,92,4,4,4,4,0,2148609820,48104,1746,13848,4891363
6534,20214,11305635,2205999,3364413000,390,421,4,18,2,10,31,18639048584,467744,3385,23512,10634046
6535,20214,11305660,2359990,548475000,103,110,5,5,2,2,7,2938568644,90539,4298,31311,9257843
6536,20214,11320660,2440535,359978000,53,55,6,3,4,2,2,757347976,29277,1769,21794,5131224
6537,20214,11350560,2777397,1651814000,143,159,2,3,3,4,16,6244969307,224652,2778,22454,5283141
6538,20214,11350621,4623227,770762000,36,43,5,2,5,2,7,128065470,9094,2169,27473,4220363
6539,20214,11410660,3093859,288959000,67,75,5,4,0,0,8,2400796827,55156,7584,22956,3767646
6540,20214,11440555,5237419,1182651000,119,133,2,3,3,4,14,3816170554,120518,11780,25772,6118467
6541,20214,11440740,4158486,3363273000,279,333,5,18,4,12,54,15787926322,541460,15320,31404,5230992
6542,20214,11470570,2727225,363759000,50,53,4,2,2,1,3,1425529158,48080,2996,21351,4304630
6543,20214,11470580,2152244,274023000,53,59,3,2,2,1,6,887783165,40065,1679,15749,2980955
6544,20214,11470640,3158844,594012000,60,71,3,2,3,2,11,1403232098,58882,7022,46374,7381279
6545,20214,11500510,4127504,1269431000,92,113,3,3,3,3,21,5741943033,272926,19659,41853,8491157
6546,20214,11500611,3192517,2584132000,181,200,6,11,4,7,19,4359970488,185739,3230,37403,5538607
6547,20214,11500615,4135674,911107000,92,100,3,3,2,2,8,3467054964,86237,6277,43678,6328968
6548,20214,11530510,4380318,1707645000,117,138,3,4,3,4,21,4843426092,99156,13037,36197,6195676
6549,20214,11530720,2972418,1125649000,121,145,3,4,4,6,24,6312421690,203484,7767,23146,4471807
6550,20214,11530760,2512790,457236000,72,82,7,6,10,8,10,2113545700,57746,1995,20845,3573576
6551,20214,11530780,2781178,775633000,85,97,3,3,1,1,12,2605507644,104653,2785,39127,5525696
6552,20214,11545510,2567594,5452422000,497,595,5,30,4,21,98,31989929734,1394620,84451,23050,4908535
6553,20214,11560515,3286751,717997000,102,115,5,6,3,3,13,4309890566,108334,5708,21466,7049322
6554,20214,11560560,4130932,2535597000,157,184,3,5,1,1,27,13312210230,447801,14108,37551,8202594
6555,20214,11560605,4019445,3030982000,280,315,5,16,5,16,35,17865950636,528631,81647,33159,9095545
